Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
39,Memoirs and Biographies,Bank CEO,McDonald,Duff,Last Man Standing: The Ascent of Jamie Dimon and JPMorgan Chase,2009,Simon & Schuster,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=McDonald+Last+Man+Standing%3A+The+Ascent+of+Jamie+Dimon+and+JPMorgan+Chase,McDonald Last Man Standing: The Ascent of Jamie Dimon and JPMorgan Chase
40,Memoirs and Biographies,Bank CEO,Weill,Sandy,Tearing Down the Walls,2006,Free Press,MEMOIR,HIGH,NEEDED,Amazon or used bookstores,https://scholar.google.com/scholar?q=Weill+Tearing+Down+the+Walls,Weill Tearing Down the Walls
41,Memoirs and Biographies,Fed Chair,Treaster,Joseph,Paul Banking Research: The Making of a Financial Legend,2004,Wiley,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Treaster+Paul+Banking Research%3A+The+Making+of+a+Financial+Legend,Treaster Paul Banking Research: The Making of a Financial Legend
42,Memoirs and Biographies,Fed History,Greider,William,Secrets of the Temple: How the Federal Reserve Runs the Country,1987,Simon & Schuster,BOOK,HIGH,NEEDED,Classic Fed narrative; Amazon or library,https://scholar.google.com/scholar?q=Greider+Secrets+of+the+Temple%3A+How+the+Federal+Reserve+Runs+the+Country,Greider Secrets of the Temple: How the Federal Reserve Runs the Country
43,Memoirs and Biographies,FDIC Chair,Seidman,William,Full Faith and Credit: The Great S&L Debacle,1993,Times Books,MEMOIR,HIGH,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Seidman+Full+Faith+and+Credit%3A+The+Great+S%26L+Debacle,Seidman Full Faith and Credit: The Great S&L Debacle
44,Memoirs and Biographies,FDIC Chair,Bair,Sheila,Bull by the Horns: Fighting to Save Main Street,2012,Free Press,MEMOIR,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Bair+Bull+by+the+Horns%3A+Fighting+to+Save+Main+Street,Bair Bull by the Horns: Fighting to Save Main Street
45,Memoirs and Biographies,TARP,Barofsky,Neil,Bailout: An Inside Account of How Washington Abandoned Main Street,2012,Free Press,MEMOIR,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Barofsky+Bailout%3A+An+Inside+Account+of+How+Washington+Abandoned+Main+Street,Barofsky Bailout: An Inside Account of How Washington Abandoned Main Street
46,Memoirs and Biographies,Crisis Narrative,Sorkin,Andrew Ross,Too Big to Fail,2009,Viking,BOOK,HIGH,NEEDED,Amazon or library; updated 2010 edition preferred,https://scholar.google.com/scholar?q=Sorkin+Too+Big+to+Fail,Sorkin Too Big to Fail
47,Memoirs and Biographies,Crisis Narrative,Lewis,Michael,The Big Short,2010,Norton,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Lewis+The+Big+Short,Lewis The Big Short
48,Memoirs and Biographies,Wall Street,Lewis,Michael,Liar's Poker,1989,Norton,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Lewis+Liar%27s+Poker,Lewis Liar's Poker
49,Memoirs and Biographies,Fed Chair,Bremner,Regulatory Document Library,Chairman of the Fed: William McChesney Martin Jr.,2004,Yale UP,BOOK,MEDIUM,NEEDED,Yale UP or Amazon,https://scholar.google.com/scholar?q=Bremner+Chairman+of+the+Fed%3A+William+McChesney+Martin+Jr.,Bremner Chairman of the Fed: William McChesney Martin Jr.
50,Memoirs and Biographies,Crisis Narrative,Lowenstein,Roger,When Genius Failed: The Rise and Fall of LTCM,2000,Random House,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Lowenstein+When+Genius+Failed%3A+The+Rise+and+Fall+of+LTCM,Lowenstein When Genius Failed: The Rise and Fall of LTCM
51,Memoirs and Biographies,Political Economy,Prins,Nomi,All the Presidents' Bankers,2014,Nation Books,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Prins+All+the+Presidents%27+Bankers,Prins All the Presidents' Bankers
52,Memoirs and Biographies,Fed Chair,Mallaby,Sebastian,The Man Who Knew: The Life and Times of Alan Greenspan,2016,Penguin,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Mallaby+The+Man+Who+Knew%3A+The+Life+and+Times+of+Alan+Greenspan,Mallaby The Man Who Knew: The Life and Times of Alan Greenspan
53,Memoirs and Biographies,Crisis History,Tooze,Adam,Crashed: How a Decade of Financial Crises Changed the World,2018,Viking,BOOK,HIGH,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Tooze+Crashed%3A+How+a+Decade+of+Financial+Crises+Changed+the+World,Tooze Crashed: How a Decade of Financial Crises Changed the World
54,Memoirs and Biographies,Banking Reform,Admati,Anat,The Bankers' New Clothes,2013,Princeton UP,BOOK,HIGH,PARTIAL,Item 10 in existing CSV covers this - verify if full book or summary,https://press.princeton.edu/,Admati The Bankers' New Clothes
55,Memoirs and Biographies,Fed Chair,Greenspan,Alan,The Map and the Territory,2013,Penguin,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Greenspan+The+Map+and+the+Territory,Greenspan The Map and the Territory
56,Memoirs and Biographies,Fed Governor,Warsh,Kevin,Various Fed Governor speeches on stress testing,2006-11,Federal Reserve,REGULATORY,MEDIUM,NEEDED,Search FRASER and Fed speeches archive,https://www.federalreserve.gov/newsevents/speeches.htm,Warsh Various Fed Governor speeches on stress testing
57,S&L Crisis,Narrative,Day,Kathleen,S&L Hell: The People and the Politics Behind the $1 Trillion Scandal,1993,Norton,BOOK,HIGH,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Day+S%26L+Hell%3A+The+People+and+the+Politics+Behind+the+%241+Trillion+Scandal,Day S&L Hell: The People and the Politics Behind the $1 Trillion Scandal
58,S&L Crisis,Narrative,Mayer,Martin,The Greatest-Ever Bank Robbery: The Collapse of the S&L Industry,1990,Scribner,BOOK,HIGH,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Mayer+The+Greatest-Ever+Bank+Robbery%3A+The+Collapse+of+the+S%26L+Industry,Mayer The Greatest-Ever Bank Robbery: The Collapse of the S&L Industry
59,S&L Crisis,Analysis,Black,William K.,The Best Way to Rob a Bank Is to Own One,2005,University of Texas Press,BOOK,HIGH,NEEDED,UT Press or Amazon,https://scholar.google.com/scholar?q=Black+The+Best+Way+to+Rob+a+Bank+Is+to+Own+One,Black The Best Way to Rob a Bank Is to Own One
60,S&L Crisis,Analysis,White,Lawrence J.,The S&L Debacle: Public Policy Lessons for Bank and Thrift Regulation,1991,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=White+The+S%26L+Debacle%3A+Public+Policy+Lessons+for+Bank+and+Thrift+Regulation,White The S&L Debacle: Public Policy Lessons for Bank and Thrift Regulation
61,S&L Crisis,Analysis,Kane,Edward J.,The S&L Insurance Mess: How Did It Happen?,1989,Urban Institute Press,BOOK,MEDIUM,NEEDED,Out of print; used bookstores or library,https://scholar.google.com/scholar?q=Kane+The+S%26L+Insurance+Mess%3A+How+Did+It+Happen%3F,Kane The S&L Insurance Mess: How Did It Happen?
62,S&L Crisis,Narrative,Eichler,Ned,The Thrift Debacle,1989,University of California Press,BOOK,MEDIUM,NEEDED,UC Press or library,https://scholar.google.com/scholar?q=Eichler+The+Thrift+Debacle,Eichler The Thrift Debacle
63,S&L Crisis,Narrative,Pizzo,Stephen,Inside Job: The Looting of America's S&Ls,1989,McGraw-Hill,BOOK,MEDIUM,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Pizzo+Inside+Job%3A+The+Looting+of+America%27s+S%26Ls,Pizzo Inside Job: The Looting of America's S&Ls
64,S&L Crisis,Narrative,Lowy,Martin,High Rollers: Inside the Savings and Loan Debacle,1991,Praeger,BOOK,LOW,NEEDED,Out of print; interlibrary loan,https://scholar.google.com/scholar?q=Lowy+High+Rollers%3A+Inside+the+Savings+and+Loan+Debacle,Lowy High Rollers: Inside the Savings and Loan Debacle
65,S&L Crisis,Narrative,Pilzer,Paul Z.,Other People's Money: The Inside Story of the S&L Mess,1989,Simon & Schuster,BOOK,LOW,NEEDED,Amazon used or library,https://scholar.google.com/scholar?q=Pilzer+Other+People%27s+Money%3A+The+Inside+Story+of+the+S%26L+Mess,Pilzer Other People's Money: The Inside Story of the S&L Mess
66,2008 Financial Crisis,Official Report,FCIC,,The Financial Crisis Inquiry Report,2011,US Government,REPORT,CRITICAL,DOWNLOADED,Free PDF from FCIC website or GPO; Downloaded 2026-02-26,https://www.govinfo.gov/content/pkg/GPO-FCIC/pdf/GPO-FCIC.pdf,FCIC The Financial Crisis Inquiry Report
67,2008 Financial Crisis,Academic,Gorton,Gary,Misunderstanding Financial Crises,2012,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Gorton+Misunderstanding+Financial+Crises,Gorton Misunderstanding Financial Crises
68,2008 Financial Crisis,Academic,Gorton,Gary,Slapped by the Invisible Hand: The Panic of 2007,2010,Oxford UP,BOOK,HIGH,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Gorton+Slapped+by+the+Invisible+Hand%3A+The+Panic+of+2007,Gorton Slapped by the Invisible Hand: The Panic of 2007
69,2008 Financial Crisis,Academic,Brunnermeier,Markus,Deciphering the Liquidity and Credit Crunch 2007-08 (JEP),2009,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Free from AEA,https://www.aeaweb.org/articles?id=10.1257/jep.23.1.77,Brunnermeier Deciphering the Liquidity and Credit Crunch 2007-08
70,2008 Financial Crisis,Shadow Banking,Pozsar,Zoltan,Shadow Banking (work computer Staff Report 458),2010,NY Fed,WORKING_PAPER,HIGH,DOWNLOADED,Item 67/105 in existing CSV covers this - verify version; Downloaded 2026-02-26,https://www.newyorkfed.org/research/staff_reports/sr458,Pozsar Shadow Banking
71,2008 Financial Crisis,Shadow Banking,Pozsar,Zoltan,Institutional Cash Pools and the Triffin Dilemma (IMF WP),2011,IMF,WORKING_PAPER,HIGH,NEEDED,Free from IMF,https://www.imf.org/external/pubs/cat/longres.aspx?sk=25155,Pozsar Institutional Cash Pools and the Triffin Dilemma
72,2008 Financial Crisis,Euro Crisis,Pisani-Ferry,Jean,The Euro Crisis and Its Aftermath,2014,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Pisani-Ferry+The+Euro+Crisis+and+Its+Aftermath,Pisani-Ferry The Euro Crisis and Its Aftermath
73,2008 Financial Crisis,Analysis,Blinder,Alan,After the Music Stopped,2013,Penguin,BOOK,MEDIUM,NEEDED,Amazon or library,https://scholar.google.com/scholar?q=Blinder+After+the+Music+Stopped,Blinder After the Music Stopped
74,2008 Financial Crisis,Academic,Buiter,Willem,Lessons from the Global Financial Crisis for Regulators and Supervisors (LSE),2009,LSE,WORKING_PAPER,MEDIUM,NEEDED,Check LSE Financial Markets Group papers,https://www.lse.ac.uk/fmg/research/,Buiter Lessons from the Global Financial Crisis for Regulators and Supervisors
75,2023 Banking Crisis,Comprehensive,Acharya,Viral,SVB and Beyond: The Banking Stress of 2023 (CEPR),2023,CEPR,REPORT,CRITICAL,NEEDED,CEPR VoxEU book; may require purchase,https://cepr.org/publications/books-and-reports/,Acharya SVB and Beyond: The Banking Stress of 2023
76,2023 Banking Crisis,Academic,Metrick,Andrew,The Failure of SVB and the Panic of 2023 (JEP),2024,Journal of Economic Perspectives,ARTICLE,CRITICAL,NEEDED,Free from AEA,https://www.aeaweb.org/,Metrick The Failure of SVB and the Panic of 2023
77,2023 Banking Crisis,Academic,Jiang,Erica,Monetary Tightening and U.S. Bank Fragility in 2023 (JFE),2024,Journal of Financial Economics,ARTICLE,CRITICAL,NEEDED,ScienceDirect or SSRN preprint,https://papers.ssrn.com/,Jiang Monetary Tightening and U.S. Bank Fragility in 2023
78,2023 Banking Crisis,Academic,Sarin,Natasha,Stress Testing Lessons from the Banking Turmoil of 2023,2024,,WORKING_PAPER,HIGH,NEEDED,Check SSRN or author website,https://papers.ssrn.com/,Sarin Stress Testing Lessons from the Banking Turmoil of 2023
79,2023 Banking Crisis,Regulatory,Federal Reserve Board,,Review of the Federal Reserve's Supervision and Regulation of SVB,2023,Federal Reserve,REPORT,HIGH,DOWNLOADED,Free from Fed website; Downloaded 2026-02-26,https://www.federalreserve.gov/publications/review-of-the-federal-reserves-supervision-and-regulation-of-silicon-valley-bank.htm,Federal Reserve Board Review of the Federal Reserve's Supervision and Regulation of SVB
80,2023 Banking Crisis,Regulatory,FDIC,,FDIC's Supervision of Signature Bank,2023,FDIC,REPORT,HIGH,DOWNLOADED,Free from FDIC website; Downloaded 2026-02-26,https://www.fdic.gov/news/press-releases/2023/pr23033.html,FDIC FDIC's Supervision of Signature Bank
81,2023 Banking Crisis,Academic,Chicago Fed,,Rushing to Judgment and the Banking Crisis of 2023 (WP 2025-04),2025,Chicago Fed,WORKING_PAPER,HIGH,NEEDED,Free from Chicago Fed,https://www.chicagofed.org/publications/working-papers/,Chicago Fed Rushing to Judgment and the Banking Crisis of 2023
82,2023 Banking Crisis,Academic,Luck,Stephan,Regional bank deposit betas post-SVB,2024,,WORKING_PAPER,HIGH,NEEDED,Check SSRN or NY Fed staff reports,https://papers.ssrn.com/,Luck Regional bank deposit betas post-SVB
83,Heterodox Profit Rate,Classical,Shaikh,Anwar,"Capitalism: Competition, Conflict, Crises",2016,Oxford UP,BOOK,CRITICAL,NEEDED,Oxford UP or Amazon; central theoretical framework,https://global.oup.com/,"Shaikh Capitalism: Competition, Conflict, Crises"
84,Heterodox Profit Rate,Classical,Shaikh,Anwar,Measuring the Wealth of Nations,1994,Cambridge UP,BOOK,CRITICAL,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Shaikh Measuring the Wealth of Nations
85,Heterodox Profit Rate,Equalization,Tsoulfidis,Lefteris,Marxian Theory of Competition and the Concept of Regulating Capital (RRPE),2005,Review of Radical Political Economics,ARTICLE,CRITICAL,NEEDED,SAGE Journals or author website,https://journals.sagepub.com/,Tsoulfidis Marxian Theory of Competition and the Concept of Regulating Capital
86,Heterodox Profit Rate,Equalization,Vaona,Andrea,An Empirical Investigation into the Long-Run Determinants of the Profit Rate (Metroeconomica),2011,Metroeconomica,ARTICLE,CRITICAL,NEEDED,Wiley Online or SSRN,https://onlinelibrary.wiley.com/,Vaona An Empirical Investigation into the Long-Run Determinants of the Profit Rate
87,Heterodox Profit Rate,Equalization,Basu,Deepankar,Is There a Tendency for the Rate of Profit to Fall? (RRPE),2013,Review of Radical Political Economics,ARTICLE,CRITICAL,NEEDED,SAGE Journals,https://journals.sagepub.com/,Basu Is There a Tendency for the Rate of Profit to Fall?
88,Heterodox Profit Rate,Equalization,Christodoulopoulos,G.,Real Competition and Profit Rate Equalisation: Theory and Evidence from the Norwegian Economy,2024,,ARTICLE,CRITICAL,NEEDED,Recent publication; check SSRN or journal,https://papers.ssrn.com/,Christodoulopoulos Real Competition and Profit Rate Equalisation: Theory and Evidence from the
89,Heterodox Profit Rate,Equalization,Shaikh,Anwar,Competition and Industrial Rates of Return (conference paper),2007,,WORKING_PAPER,HIGH,NEEDED,Check New School working papers or ResearchGate,https://www.researchgate.net/,Shaikh Competition and Industrial Rates of Return
90,Heterodox Profit Rate,Equalization,Shaikh,Anwar,Profit Rate Equalization Theory and Evidence,2008,,WORKING_PAPER,HIGH,NEEDED,Check New School working papers or ResearchGate,https://www.researchgate.net/,Shaikh Profit Rate Equalization Theory and Evidence
91,Heterodox Profit Rate,Banking,Shaikh,Anwar,"Real, Bond, and Bank Sector Profit Rate Equalization",2004,,WORKING_PAPER,HIGH,NEEDED,Check New School working papers; key for banking application,https://www.researchgate.net/,"Shaikh Real, Bond, and Bank Sector Profit Rate Equalization"
92,Heterodox Profit Rate,Classical,Shaikh,Anwar,Laws of Production and Laws of Algebra (RRPE),1974,Review of Radical Political Economics,ARTICLE,MEDIUM,NEEDED,SAGE Journals,https://journals.sagepub.com/,Shaikh Laws of Production and Laws of Algebra
93,Heterodox Profit Rate,Banking,Shaikh,Anwar,Competition Finance and Interest Rates (chapter draft),2007,,CHAPTER,MEDIUM,NEEDED,May be chapter in Capitalism (2016); verify,https://scholar.google.com/scholar?q=Shaikh+Competition+Finance+and+Interest+Rates,Shaikh Competition Finance and Interest Rates
94,Heterodox Profit Rate,Classical,Semmler,Willi,"Competition, Monopoly, and Differential Profit Rates",1984,Columbia UP,BOOK,MEDIUM,NEEDED,Out of print; university library,https://scholar.google.com/scholar?q=Semmler+Competition%2C+Monopoly%2C+and+Differential+Profit+Rates,"Semmler Competition, Monopoly, and Differential Profit Rates"
